slug,imageUrl
ritual-of-sakura-body-wash,PASTE_CLOUDINARY_URL_HERE
amber-vanilla-body-wash,PASTE_CLOUDINARY_URL_HERE
coconut-cardamom-body-wash,PASTE_CLOUDINARY_URL_HERE
midnight-jasmine-shower-gel,PASTE_CLOUDINARY_URL_HERE
jasmine-hand-wash,PASTE_CLOUDINARY_URL_HERE
neroli-blossom-hand-wash,PASTE_CLOUDINARY_URL_HERE
gold-tuberose-body-lotion,PASTE_CLOUDINARY_URL_HERE
white-lotus-body-lotion,PASTE_CLOUDINARY_URL_HERE
silk-pearl-hand-lotion,PASTE_CLOUDINARY_URL_HERE
patchouli-shower-oil,PASTE_CLOUDINARY_URL_HERE
ancient-gold-face-cream,PASTE_CLOUDINARY_URL_HERE
peptide-firming-cream,PASTE_CLOUDINARY_URL_HERE
retinol-night-repair-cream,PASTE_CLOUDINARY_URL_HERE
ritual-of-namaste-eye-cream,PASTE_CLOUDINARY_URL_HERE
centella-soothing-gel,PASTE_CLOUDINARY_URL_HERE
moonflower-body-butter,PASTE_CLOUDINARY_URL_HERE
vetiver-cedar-hand-cream,PASTE_CLOUDINARY_URL_HERE
rose-quartz-glow-mask,PASTE_CLOUDINARY_URL_HERE
charcoal-purifying-mask,PASTE_CLOUDINARY_URL_HERE
himalayan-salt-body-polish,PASTE_CLOUDINARY_URL_HERE
ancient-oud-body-scrub,PASTE_CLOUDINARY_URL_HERE
charcoal-detox-body-scrub,PASTE_CLOUDINARY_URL_HERE
ritual-of-rebirth-body-scrub,PASTE_CLOUDINARY_URL_HERE
ritual-of-hammam-scrub,PASTE_CLOUDINARY_URL_HERE
sea-salt-coconut-exfoliant,PASTE_CLOUDINARY_URL_HERE
ritual-of-ayurveda-bath-salts,PASTE_CLOUDINARY_URL_HERE
saffron-honey-bath-soak,PASTE_CLOUDINARY_URL_HERE
hyaluronic-aqua-serum,PASTE_CLOUDINARY_URL_HERE
niacinamide-clarity-serum,PASTE_CLOUDINARY_URL_HERE
bakuchiol-youth-elixir,PASTE_CLOUDINARY_URL_HERE
sakura-brightening-serum,PASTE_CLOUDINARY_URL_HERE
vitamin-c-radiance-drops,PASTE_CLOUDINARY_URL_HERE
rose-hip-regenerating-oil,PASTE_CLOUDINARY_URL_HERE
white-lotus-cleansing-oil,PASTE_CLOUDINARY_URL_HERE
saffron-illuminating-toner,PASTE_CLOUDINARY_URL_HERE
argan-rose-body-elixir,PASTE_CLOUDINARY_URL_HERE
rose-hip-body-oil,PASTE_CLOUDINARY_URL_HERE
rose-sandalwood-bath-oil,PASTE_CLOUDINARY_URL_HERE
sacred-space-diffuser-oil,PASTE_CLOUDINARY_URL_HERE
amber-benzoin-candle,PASTE_CLOUDINARY_URL_HERE
ancient-forest-candle,PASTE_CLOUDINARY_URL_HERE
moonlight-ritual-candle,PASTE_CLOUDINARY_URL_HERE
oud-sandalwood-candle,PASTE_CLOUDINARY_URL_HERE
rose-oud-candle,PASTE_CLOUDINARY_URL_HERE
ritual-of-hammam-candle,PASTE_CLOUDINARY_URL_HERE
midnight-bloom-wax-melts,PASTE_CLOUDINARY_URL_HERE
gold-ritual-diffuser,PASTE_CLOUDINARY_URL_HERE
white-lotus-reed-diffuser,PASTE_CLOUDINARY_URL_HERE
gold-infused-face-mist,PASTE_CLOUDINARY_URL_HERE
jasmine-rose-room-spray,PASTE_CLOUDINARY_URL_HERE
neroli-bergamot-room-spray,PASTE_CLOUDINARY_URL_HERE
morning-meditation-spray,PASTE_CLOUDINARY_URL_HERE
lavender-dream-body-mist,PASTE_CLOUDINARY_URL_HERE
jasmine-micellar-water,PASTE_CLOUDINARY_URL_HERE
lip-ritual-nourishing-balm,PASTE_CLOUDINARY_URL_HERE
ritual-of-namaste-body-balm,PASTE_CLOUDINARY_URL_HERE
spf-50-glow-shield,PASTE_CLOUDINARY_URL_HERE
aha-glow-peel-pads,PASTE_CLOUDINARY_URL_HERE
palo-santo-cedar-incense,PASTE_CLOUDINARY_URL_HERE
ritual-incense-sticks,PASTE_CLOUDINARY_URL_HERE
